"Especie"	"longitud"
"1"	"Cc"	17.270638567773
"2"	"Cc"	19.7009299726662
"3"	"Cc"	16.6431141627699
"4"	"Cc"	23.9358424064134
"5"	"Cc"	20.1385233154461
"6"	"Cc"	16.688594847646
"7"	"Cc"	20.6122871572855
"8"	"Cc"	21.3649741153876
"9"	"Cc"	20.8773440549605
"10"	"Cc"	18.2338348385309
"11"	"Cc"	23.6853435053525
"12"	"Cc"	20.3195297092343
"13"	"Cc"	17.2862782583746
"14"	"Cc"	12.5059003384675
"15"	"Cc"	22.5247927544293
"16"	"Cc"	19.0151991729543
"17"	"Cc"	19.1014292107032
"18"	"Cc"	21.9815086320559
"19"	"Cc"	21.6136635852943
"20"	"Cc"	20.9317039636525
"21"	"Ch"	24.0569321148247
"22"	"Ch"	23.6464089021932
"23"	"Ch"	21.5236949500956
"24"	"Ch"	15.3319449124099
"25"	"Ch"	23.1594772436841
"26"	"Ch"	21.131613781413
"27"	"Ch"	20.832613479884
"28"	"Ch"	16.8877428483022
"29"	"Ch"	19.8655498346741
"30"	"Ch"	22.5538246805991
"31"	"Ch"	25.3760386545871
"32"	"Ch"	20.991636817971
"33"	"Ch"	22.4630148346781
"34"	"Ch"	21.1385848782513
"35"	"Ch"	17.1688213295142
"36"	"Ch"	20.055016310101
"37"	"Ch"	20.117130138869
"38"	"Ch"	21.1220598098664
"39"	"Ch"	24.6000761159517
"40"	"Ch"	23.5895272453726
"41"	"Cs"	22.2564292112392
"42"	"Cs"	21.9899149595905
"43"	"Cs"	24.8408901262142
"44"	"Cs"	24.419989596021
"45"	"Cs"	20.6837329163514
"46"	"Cs"	20.6275145291136
"47"	"Cs"	23.8437458864105
"48"	"Cs"	25.0555987735462
"49"	"Cs"	22.4129613635493
"50"	"Cs"	25.3933231793626
"51"	"Cs"	23.9443176411012
"52"	"Cs"	20.9139208202477
"53"	"Cs"	23.7733590742733
"54"	"Cs"	19.3619107117576
"55"	"Cs"	27.0490711051031
"56"	"Cs"	28.6911996955176
"57"	"Cs"	21.6483355706005
"58"	"Cs"	19.6175961210504
"59"	"Cs"	24.4591588823272
"60"	"Cs"	22.3448361883575
